region_name,type,chr,strand,start,end
zen,whole,chr3R,+,6752869,6756868
zen,zoomed,chr3R,+,6755251,6755950
tld,whole,chr3R,+,24747537,24751536
tld,zoomed,chr3R,+,24749113,24749562
dpp,whole,chr2L,+,2455325,2458324
dpp,zoomed,chr2L,+,2456536,2456685
hkb,whole,chr3R,+,4345767,4349766
hkb,zoomed,chr3R,+,4348291,4348890
tll,whole,chr3R,+,30850318,30854317
tll,zoomed,chr3R,+,30851801,30852500
Doc2,whole,chr3L,+,9028978,9029977
Doc2,zoomed,chr3L,+,9029280,9029629
shn,whole,chr2R,+,11191283,11192282
shn,zoomed,chr2R,+,11191552,11191951
ind,whole,chr3L,+,15039251,15041250
ind,zoomed,chr3L,+,15039597,15039946
